time,enrolled,available,waitlisted,total
2024-02-16T04:30:20,0,150,0,150
2024-02-16T04:46:12,0,150,0,150
2024-02-16T05:02:39,0,150,0,150
2024-02-16T05:18:06,0,150,0,150
2024-02-16T05:33:26,0,150,0,150
2024-02-16T05:48:49,0,150,0,150
2024-02-16T06:04:10,0,150,0,150
2024-02-16T06:19:30,0,150,0,150
2024-02-16T06:35:00,0,150,0,150
2024-02-16T06:50:51,0,150,0,150
2024-02-16T07:06:25,0,150,0,150
2024-02-16T07:21:40,0,150,0,150
2024-02-16T07:37:06,0,150,0,150
2024-02-16T07:52:29,0,150,0,150
2024-02-16T08:07:48,0,150,0,150
2024-02-16T08:23:02,0,150,0,150
2024-02-16T08:38:18,0,150,0,150
2024-02-16T08:53:44,0,150,0,150
2024-02-16T09:09:13,0,150,0,150
2024-02-16T09:25:00,0,150,0,150
2024-02-16T09:41:14,0,150,0,150
2024-02-16T09:56:35,0,150,0,150
2024-02-16T10:11:54,0,150,0,150
2024-02-16T10:27:13,0,150,0,150
2024-02-16T10:42:30,0,150,0,150
2024-02-16T10:57:51,0,150,0,150
2024-02-16T11:13:22,0,150,0,150
2024-02-16T11:28:39,0,150,0,150
2024-02-16T11:43:58,0,150,0,150
2024-02-16T11:59:17,0,150,0,150
2024-02-16T12:14:39,0,150,0,150
2024-02-16T12:30:08,0,150,0,150
2024-02-16T12:45:25,0,150,0,150
2024-02-16T13:00:43,0,150,0,150
2024-02-16T13:16:05,0,150,0,150
2024-02-16T13:31:22,0,150,0,150
2024-02-16T13:46:54,0,150,0,150
2024-02-16T14:02:09,0,150,0,150
2024-02-16T14:17:25,0,150,0,150
2024-02-16T14:32:45,0,150,0,150
2024-02-16T14:48:00,0,150,0,150
2024-02-16T15:03:32,0,150,0,150
2024-02-16T15:18:48,0,150,0,150
2024-02-16T15:34:04,0,150,0,150
2024-02-16T15:49:29,0,150,0,150
2024-02-16T16:04:45,0,150,0,150
2024-02-16T16:20:18,0,150,0,150
2024-02-16T16:35:33,0,150,0,150
2024-02-16T16:50:53,0,150,0,150
2024-02-16T17:06:12,0,150,0,150
2024-02-16T17:21:41,0,150,0,150
2024-02-16T17:37:07,0,150,0,150
2024-02-16T17:52:26,0,150,0,150
2024-02-16T18:07:50,0,150,0,150
2024-02-16T18:23:10,0,150,0,150
2024-02-16T18:38:24,0,150,0,150
2024-02-16T18:53:42,0,150,0,150
2024-02-16T19:09:12,0,150,0,150
2024-02-16T19:24:33,0,150,0,150
2024-02-16T19:39:56,0,150,0,150
2024-02-16T19:55:26,0,150,0,150
2024-02-16T20:10:54,0,150,0,150
2024-02-16T20:26:22,0,150,0,150
2024-02-16T20:41:44,0,150,0,150
2024-02-16T20:59:06,0,150,0,150
2024-02-16T21:14:26,0,150,0,150
2024-02-16T21:29:44,0,150,0,150
2024-02-16T21:45:08,0,150,0,150
2024-02-16T22:00:32,0,150,0,150
2024-02-16T22:15:56,0,150,0,150
2024-02-16T22:31:17,0,150,0,150
2024-02-16T22:46:34,0,150,0,150
2024-02-16T23:01:53,0,150,0,150
2024-02-16T23:17:11,0,150,0,150
2024-02-16T23:32:38,0,150,0,150
2024-02-16T23:47:55,0,150,0,150
2024-02-17T00:05:01,0,150,0,150
2024-02-17T00:30:18,0,150,0,150
2024-02-17T00:52:11,0,150,0,150
2024-02-17T01:14:15,0,150,0,150
2024-02-17T01:32:56,0,150,0,150
2024-02-17T01:48:25,0,150,0,150
2024-02-17T02:03:44,0,150,0,150
2024-02-17T02:19:10,0,150,0,150
2024-02-17T02:34:29,0,150,0,150
2024-02-17T02:49:54,0,150,0,150
2024-02-17T03:05:13,0,150,0,150
2024-02-17T03:20:36,0,150,0,150
2024-02-17T03:35:57,0,150,0,150
2024-02-17T03:51:20,0,150,0,150
2024-02-17T04:06:53,0,150,0,150
2024-02-17T04:31:35,0,150,0,150
2024-02-17T04:47:05,0,150,0,150
2024-02-17T05:02:36,0,150,0,150
2024-02-17T05:17:58,0,150,0,150
2024-02-17T05:33:19,0,150,0,150
2024-02-17T05:48:44,0,150,0,150
2024-02-17T06:04:11,0,150,0,150
2024-02-17T06:20:41,0,150,0,150
2024-02-17T10:05:06,0,150,0,150
2024-02-17T10:20:36,1,149,0,150
2024-02-17T10:31:02,1,149,0,150
2024-02-17T10:46:31,1,149,0,150
2024-02-17T11:01:50,1,149,0,150
2024-02-17T11:17:15,1,149,0,150
2024-02-17T11:32:40,1,149,0,150
2024-02-17T11:47:56,1,149,0,150
2024-02-17T12:03:21,1,149,0,150
2024-02-17T12:18:55,1,149,0,150
2024-02-17T12:34:13,1,149,0,150
2024-02-17T12:49:33,1,149,0,150
2024-02-17T13:04:50,1,149,0,150
2024-02-17T13:20:09,1,149,0,150
2024-02-17T13:35:37,1,149,0,150
2024-02-17T13:51:01,1,149,0,150
2024-02-17T14:06:25,1,149,0,150
2024-02-17T14:21:41,1,149,0,150
2024-02-17T14:37:05,1,149,0,150
2024-02-17T14:52:38,1,149,0,150
2024-02-17T15:08:00,1,149,0,150
2024-02-17T15:23:15,1,149,0,150
2024-02-17T15:38:42,1,149,0,150
2024-02-17T15:54:07,1,149,0,150
